Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
116919	502795.17384	481003.95075	23.462365	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW		Y	Lifting notes = yes	N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				440					Y	23	15						MB	300916
116920	502794.86043	481003.62552	23.513313	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				76	36		9		N								MB	300916
116921	502794.89015	481003.70012	23.498014	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	Y	Heavily	One face and all edges	N		N				50	43		12		N								MB	300916
116922	502794.86683	481003.78037	23.49529	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	None		SH	4	N		0			0	0	0	0	0	0	0		N			N		N				300					Y	25	18						MB	300916
116923	#N/A	#N/A	#N/A	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB	brushwood	N		N				N	None		BSH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				130	50		30		N				50				MB	300916
116924	502795.13735	481003.47662	23.471391	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	SH	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				50	19		12		N								MB	300916
116925	502795.25844	481003.35381	23.453367	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				270					Y	21	14						MB	300916
116926	502795.44806	481003.65454	23.499447	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	Modern	ends broken	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				116					Y	10	8						MB	300916
116927	502795.33862	481003.55933	23.510673	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		N				78	32		16		N								MB	300916
116928	#N/A	#N/A	#N/A	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Rad / Tan / SQ	N			N		Y	Splitting debris?			85	21		15		N								MB	300916
