Finds_no_,N,19,11	Site,C,254	x,N,19,11	y,N,19,11	z,N,19,11	Trench,N,19,11	Context,N,19,11	Grid,C,254	Type,C,254	Burnt,C,254	Utilised,C,254	Use,C,254	ID,C,254	Notes,C,254
108456	SC14	502811.6492	481006.1018	24.02255	34	310	M18	Stone				Stone	
108460	SC14	502812.3975	481001.9503	23.71356	34	310	M14	Stone		Y		Stone	
108561	SC14	502801.491	480999.032	23.63742	34	310	B13	Stone				Stone	
108566	SC14	502818.0607	480993.3658	23.20053	34	317	Q3	Stone				Stone	
108571	SC14	502811.6679	481007.0777	24.31936	34	308	N19	Stone				Stone	
108572	SC14	502805.9968	480998.0467	23.63455	34	310	F4	Stone				Stone	
108591	SC14	502804.6433	480997.2644	23.54068	34	310	C7	Stone				Stone	
108597	SC14	502812.5743	481001.498	23.7257	34	310	L11	Stone	Y			Stone	
108657	SC14	502811.188	481004.3768	23.69858	34	310	L16	Stone	Y			Stone	
108687	SC14	502818.9081	481008.7225	24.51658	34	308	V18	Stone	Y			Stone	
108780	SC14	502809.4749	481005.9785	23.89819	34	302	K18	Stone				Stone	
108786	SC14	502811.1781	481001.8055	23.54812	34	312	L13	Stone				Stone	
108788	SC14	502810.4229	481005.8701	23.85889	34	302	H8	Stone				Stone	
108795	SC14	502809.6853	481006.3419	23.93147	34	302	K18	Stone				Stone	
108796	SC14	502811.7927	481004.6411	23.69853	34	302	M19	Stone				Stone	
108814	SC14	502813.1051	481001.9224	23.54075	34	312	N13	Stone				Stone	
108817	SC14	502806.3112	481004.8352	23.79885	34	312	H18	Stone				Stone	
108897	SC14	502802.1157	481000.226	23.46621	34	310	??	Stone	Y			Stone	
108947	SC14	502804.4762	481000.7167	23.39706	34	317	E12	Stone		Y		Stone	
108959	SC14	502812.4243	481001.9902	23.43274	34	310	L12	Stone	Y			Stone	
108960	SC14	502806.2825	481003.9718	23.75155	34	310	H17	Stone	Y			Stone	
108997	SC14	502808.2569	481017.379	24.95445	34	305	M30	Stone				Stone	
109064	Sc14	502891.0068	481014.7074	25.93294	35	327	K9	Stone		Y			
109132	SC14	502809.1268	480999.3684	23.50682	34	312	I11	Stone	Y			Stone	
109133	SC14	502801.7079	480999.6781	23.63105	34	310	B13	Stone				Stone	
109223	SC14	502808.9279	481002.1452	23.41081	34	312	I15	stone				Stone	
109652	SC14	502805.4028	480998.8956	23.5801	34	312	F12	Stone	Y		Residue	Stone	Assoc. soil sample: 2462
109666	SC14	502805.7285	481000.9952	23.57181	34	312	F14	Stone			Residue	Stone	Assoc. soil sample: 2467
109686	SC14	502809.4735	481000.6099	23.38906	34	312	I13	Stone			Residue	Stone	In association with antler
109687	SC14	502806.5838	481004.6556	23.71532	34	310	I17	Stone			Residue	Stone	In association with bark <109040> and bone <108868> Assoc. soil sample 2525
109814	SC14	502803.5543	480998.6235	23.54862	34	310	C11	Stone			Residue	Stone	Assoc. soil sample: 3155
109821	SC14	502807.2484	481015.692	24.92541	34	308	L28	Stone			Residue	Hammer stone	Assoc. soil sample: 3136
109833	SC14	502803.4707	480998.5903	23.52336	34	310	C11	Stone			Residue	Stone	Assoc. soil sample: 3152
110526	SC14	502816.368	480994.5161	23.0026	34	320	O4	Stone				Stone	
0	SC14	0	0	0	34	308		Stone				Stone	Originally put as find 108936 but duplicate was found
0	SC14	0	0	0	34	1000	??	Stone				Stone	
0	SC14	0	0	0	34	312	AC30	Stone				Stone	
